"filename", "language", "Rust", "Markdown", "JSON", "C", "PowerShell", "comment", "blank", "total"
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\io\demuxer.rs", "Rust", 264, 0, 0, 0, 0, 37, 40, 341
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\io\ffi\avcodec.rs", "Rust", 43, 0, 0, 0, 0, 23, 18, 84
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\io\ffi\avformat.rs", "Rust", 56, 0, 0, 0, 0, 30, 19, 105
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\io\ffi\avutil.rs", "Rust", 120, 0, 0, 0, 0, 39, 29, 188
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\io\ffi\hw_accel.rs", "Rust", 80, 0, 0, 0, 0, 17, 12, 109
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\io\ffi\mod.rs", "Rust", 4, 0, 0, 0, 0, 1, 1, 6
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\io\frame_cache.rs", "Rust", 66, 0, 0, 0, 0, 17, 13, 96
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\io\io_layer.rs", "Rust", 163, 0, 0, 0, 0, 8, 22, 193
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\io\mod.rs", "Rust", 7, 0, 0, 0, 0, 1, 1, 9
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\io\prefetch.rs", "Rust", 69, 0, 0, 0, 0, 1, 13, 83
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\io\slot_pool.rs", "Rust", 94, 0, 0, 0, 0, 16, 23, 133
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\lib.rs", "Rust", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\project.rs", "Rust", 141, 0, 0, 0, 0, 43, 20, 204
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\project_file.rs", "Rust", 98, 0, 0, 0, 0, 28, 21, 147
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\compute.rs", "Rust", 98, 0, 0, 0, 0, 20, 18, 136
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\context.rs", "Rust", 42, 0, 0, 0, 0, 9, 9, 60
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\device.rs", "Rust", 151, 0, 0, 0, 0, 23, 24, 198
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\effect_chain.rs", "Rust", 140, 0, 0, 0, 0, 22, 20, 182
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\frame_state.rs", "Rust", 32, 0, 0, 0, 0, 11, 6, 49
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\graph.rs", "Rust", 204, 0, 0, 0, 0, 28, 46, 278
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\mod.rs", "Rust", 9, 0, 0, 0, 0, 1, 2, 12
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\nodes\blit.rs", "Rust", 143, 0, 0, 0, 0, 1, 16, 160
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\nodes\chroma_key.rs", "Rust", 215, 0, 0, 0, 0, 14, 25, 254
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\nodes\color_correction.rs", "Rust", 150, 0, 0, 0, 0, 14, 18, 182
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\nodes\composite.rs", "Rust", 221, 0, 0, 0, 0, 3, 21, 245
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\nodes\lut.rs", "Rust", 213, 0, 0, 0, 0, 13, 23, 249
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\nodes\mod.rs", "Rust", 7, 0, 0, 0, 0, 1, 2, 10
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\nodes\yuv_to_rgb.rs", "Rust", 179, 0, 0, 0, 0, 20, 15, 214
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\nodes\yuv_upload.rs", "Rust", 172, 0, 0, 0, 0, 5, 22, 199
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\resource.rs", "Rust", 119, 0, 0, 0, 0, 27, 21, 167
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\shader\mod.rs", "Rust", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\render\shader\registry.rs", "Rust", 82, 0, 0, 0, 0, 1, 18, 101
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\scheduler\frame_scheduler.rs", "Rust", 80, 0, 0, 0, 0, 8, 15, 103
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\scheduler\island.rs", "Rust", 63, 0, 0, 0, 0, 3, 11, 77
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\scheduler\mod.rs", "Rust", 2, 0, 0, 0, 0, 1, 1, 4
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\shim.c", "C", 0, 0, 0, 52, 0, 0, 9, 61
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\sync\drift_corrector.rs", "Rust", 39, 0, 0, 0, 0, 4, 12, 55
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\sync\master_clock.rs", "Rust", 47, 0, 0, 0, 0, 16, 9, 72
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\sync\mod.rs", "Rust", 4, 0, 0, 0, 0, 1, 1, 6
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\sync\presentation.rs", "Rust", 42, 0, 0, 0, 0, 6, 8, 56
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\sync\sync_probe.rs", "Rust", 41, 0, 0, 0, 0, 7, 8, 56
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\tests\av_sync.rs", "Rust", 98, 0, 0, 0, 0, 5, 16, 119
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\tests\export_integration.rs", "Rust", 108, 0, 0, 0, 0, 0, 14, 122
